,pearson,spearman,mi,gain,perm,r_pearson,r_spearman,r_mi,r_gain,r_perm,rank_mean
solar_elev_h2,0.1365705831115343,0.1869481835094768,0.22736247508792484,277059659.6738281,0.013174066234877787,19.0,20.0,9.0,6.0,9.0,12.6
solar_elev_h6,0.1957177292528143,0.29742112001683374,0.2458077503215792,45033796.51464844,0.0030606914180786684,5.0,4.0,2.0,52.0,23.0,17.2
clear_sky_ghi_h4,0.21738703118765526,0.3039770866534066,0.12790144132030923,114821815.57128906,0.0009790993759547135,2.0,3.0,29.0,18.0,36.0,17.6
clear_sky_ghi_h2,0.14382157221813366,0.19242207900348318,0.146755208825887,128806303.03320312,0.005620700717881936,18.0,18.0,24.0,14.0,16.0,18.0
solar_elev_h3,0.17318960319187093,0.2533969990403925,0.23108567128665758,59565453.994628906,0.0010099078455548434,9.0,10.0,7.0,43.0,34.0,20.6
solar_elev_h5,0.1934434868536311,0.2949527534548983,0.254295884529518,22414245.24267578,0.0013867953868568206,6.0,5.0,1.0,69.0,31.0,22.4
clear_sky_ghi_h1,0.05687341216293674,0.06627226404052715,0.1909870908827047,97716646.48046875,0.005108720973849179,27.5,28.5,15.0,23.0,19.0,22.6
clear_sky_ghi_h3,0.19337123178015828,0.2648509984890283,0.13737740087028438,57302732.76660156,0.0008569717774226474,7.0,8.0,27.0,44.0,40.0,25.2
solar_elev_h4,0.18813620160491065,0.28590588200005007,0.24418342957266415,30352126.814941406,0.0005040163470863002,8.0,6.0,3.0,62.0,48.0,25.4
aws_rh_roll_180m_mean,0.1699028157705516,0.26132220084320296,0.06674367565866213,86158512.45996094,0.007800735519769379,11.0,9.0,61.0,31.0,15.0,25.4
dhi_wm2,-0.06601810705816001,-0.08901898539142519,0.23340904281314234,616035801.9291992,0.285056331490916,60.0,58.0,6.0,3.0,2.0,25.8
clp_cot_lag_60m,0.04479002013556784,0.05078813563821401,0.09529873782453802,118596772.56152344,0.001918706555616286,30.0,35.0,39.0,15.0,26.0,29.0
solar_elev_h1,0.059312740486069784,0.06563466886012699,0.22301019090231744,86539457.11083984,0.0002250435874598574,26.0,30.5,12.0,30.0,52.0,30.1
aws_pressure_delta_60m,0.15108045102892323,0.21760716345141456,0.07049944204390357,79747233.81201172,0.0014098773333318289,15.0,15.0,58.0,33.0,30.0,30.2
clear_sky_ghi_h5,0.22101361279626366,0.32068779239824174,0.1278989690024841,7658764.549316406,0.0007478828109447703,1.0,2.0,30.0,78.0,42.0,30.6
clear_sky_ghi_h6,0.20793423324438978,0.3210549898467926,0.125327248194258,10156739.594726562,0.0006469080729826956,4.0,1.0,31.0,77.0,43.0,31.2
clp_cot,-0.04242548464805883,-0.04926105053449606,0.09069447315654067,754195293.675293,0.22020979425560394,57.0,55.0,42.0,2.0,3.0,31.8
clp_cot_roll_180m_mean,0.04345218154853174,0.0452141248443961,0.07430778850401598,133733816.5024414,0.002002037196472739,31.0,36.0,57.0,12.0,25.0,32.2
clp_cth_lag_60m,0.02377401069887842,0.05630524010380354,0.06027491048066391,111973461.86816406,0.003237045432230875,36.0,33.0,67.0,19.0,21.0,35.2
solar_elev_deg,-0.06319603748271248,-0.10629329961744713,0.1643017466103771,92885552.80810547,0.0132542878100211,59.0,65.5,19.0,26.0,8.0,35.5
