site,model,R2,MAE,RMSE,skill
banten,LightGBM,0.7389,94.45,139.16,0.2035
banten,CatBoost,0.7405,94.8,138.76,0.2058
banten,XGBoost,0.7382,94.9,139.37,0.2023
banten,MLP,0.7378,95.04,139.46,0.2018
banten,LSTM,0.7278,97.11,142.1,0.1867
banten,Transformer,0.7373,95.13,139.61,0.2009
banten,LSTM_hybrid,0.7345,94.92,140.35,0.1967
banten,Transformer_hybrid,0.7381,93.5,139.39,0.2022
bengkulu,LightGBM,0.8197,90.68,134.14,0.2445
bengkulu,CatBoost,0.8207,90.99,133.75,0.2467
bengkulu,XGBoost,0.8193,91.24,134.27,0.2437
bengkulu,MLP,0.8198,90.98,134.11,0.2446
bengkulu,LSTM,0.8082,94.45,138.35,0.2208
bengkulu,Transformer,0.8142,92.16,136.17,0.233
bengkulu,LSTM_hybrid,0.8094,95.47,137.9,0.2233
bengkulu,Transformer_hybrid,0.8157,90.26,135.6,0.2363
jambi,LightGBM,0.7397,100.33,143.23,0.2329
jambi,CatBoost,0.7403,100.61,143.06,0.2338
jambi,XGBoost,0.7395,100.32,143.28,0.2326
jambi,MLP,0.7387,100.75,143.5,0.2314
jambi,LSTM,0.7293,101.33,146.07,0.2177
jambi,Transformer,0.7358,101.18,144.3,0.2272
jambi,LSTM_hybrid,0.7329,101.7,145.07,0.223
jambi,Transformer_hybrid,0.733,102.07,145.07,0.2231
jogja,LightGBM,0.6656,131.96,187.47,0.2462
jogja,CatBoost,0.6673,132.26,186.99,0.2482
jogja,XGBoost,0.6654,132.13,187.53,0.246
jogja,MLP,0.6675,131.77,186.94,0.2484
jogja,LSTM,0.6505,134.16,191.64,0.2295
jogja,Transformer,0.6634,130.51,188.09,0.2437
jogja,LSTM_hybrid,0.6569,133.79,189.89,0.2365
jogja,Transformer_hybrid,0.668,130.36,186.78,0.249
kalbar,LightGBM,0.7806,107.19,154.67,0.2231
kalbar,CatBoost,0.78,108.04,154.9,0.2219
kalbar,XGBoost,0.781,107.26,154.56,0.2236
kalbar,MLP,0.7807,105.74,154.67,0.2231
kalbar,LSTM,0.7729,106.53,157.39,0.2094
kalbar,Transformer,0.7804,105.91,154.76,0.2226
kalbar,LSTM_hybrid,0.7746,106.03,156.79,0.2124
kalbar,Transformer_hybrid,0.7831,106.59,153.8,0.2274
semarang,LightGBM,0.7607,101.72,152.89,0.2162
semarang,CatBoost,0.7615,102.23,152.62,0.2175
semarang,XGBoost,0.7604,101.8,153.0,0.2156
semarang,MLP,0.7644,101.29,151.72,0.2222
semarang,LSTM,0.7529,102.8,155.34,0.2035
semarang,Transformer,0.7552,104.07,154.64,0.2071
semarang,LSTM_hybrid,0.7558,103.51,154.44,0.2082
semarang,Transformer_hybrid,0.7592,102.94,153.37,0.2137
