site,model,R2,MAE,RMSE,skill
banten,LSTM,0.8645,62.03,92.52,0.2396
banten,Transformer,0.8665,62.27,91.83,0.2452
banten,LSTM_hybrid,0.865,61.93,92.34,0.241
banten,Transformer_hybrid,0.8707,60.16,90.37,0.2572
bengkulu,LSTM,0.9033,62.1,92.27,0.2446
bengkulu,Transformer,0.9106,59.06,88.76,0.2734
bengkulu,LSTM_hybrid,0.9082,60.44,89.92,0.2639
bengkulu,Transformer_hybrid,0.9096,59.25,89.24,0.2694
jambi,LSTM,0.8729,62.95,91.51,0.3096
jambi,Transformer,0.8771,62.42,89.97,0.3212
jambi,LSTM_hybrid,0.8732,63.27,91.39,0.3105
jambi,Transformer_hybrid,0.8768,62.07,90.09,0.3203
jogja,LSTM,0.8419,76.79,113.25,0.3742
jogja,Transformer,0.8485,75.71,110.84,0.3875
jogja,LSTM_hybrid,0.8455,76.15,111.95,0.3813
jogja,Transformer_hybrid,0.8499,75.1,110.35,0.3902
kalbar,LSTM,0.8912,67.52,101.25,0.2707
kalbar,Transformer,0.8919,68.88,100.95,0.2729
kalbar,LSTM_hybrid,0.8919,67.71,100.96,0.2729
kalbar,Transformer_hybrid,0.8948,67.77,99.59,0.2827
semarang,LSTM,0.885,64.41,97.44,0.2924
semarang,Transformer,0.8897,63.71,95.46,0.3068
semarang,LSTM_hybrid,0.8867,63.87,96.71,0.2976
semarang,Transformer_hybrid,0.8905,63.14,95.08,0.3095
