hour,n_A,R2_A,MAE_A,RMSE_A,n_B,R2_B,MAE_B,RMSE_B
6,822,0.6671,27.6,35.7,822,0.6671,27.6,35.7
7,2190,0.7501,41.1,56.1,2190,0.7501,41.1,56.1
8,2190,0.7449,57.2,76.7,2190,0.7449,57.2,76.7
9,2190,0.6974,76.6,103.1,2190,0.6974,76.6,103.1
10,2190,0.7284,81.3,109.8,2190,0.7284,81.3,109.8
11,2190,0.7266,78.4,108.7,2190,0.7266,78.4,108.7
12,2190,0.704,79.7,111.8,2190,0.704,79.7,111.8
13,2190,0.6844,85.1,119.0,2190,0.6844,85.1,119.0
14,2190,0.722,72.0,100.5,2190,0.722,72.0,100.5
15,2190,0.7961,47.2,63.8,2190,0.7961,47.2,63.8
16,2190,0.8306,22.8,32.4,1920,0.8173,24.2,34.0
17,1920,0.704,8.6,12.4,72,0.7718,13.1,17.4
18,72,-58.2381,9.8,15.0,0,,,
