site,config,vs,dR2,CI_lo,CI_hi,avail_orig,avail_asof
banten,T1+SYNcloud_orig,T1,0.0003,-0.0001,0.0007,0.1621,0.9387
banten,T1+SYNcloud_asof,T1,-0.0017,-0.0025,-0.0008,0.1621,0.9387
banten,T1+SYNall_orig,T1,0.0007,0.0003,0.0012,0.1621,0.9387
banten,T1+SYNall_asof,T1,0.0012,0.0003,0.0023,0.1621,0.9387
banten,T1+CLP+SYNcloud_orig,T1+CLP,0.0007,0.0002,0.0012,0.1621,0.9387
banten,T1+CLP+SYNcloud_asof,T1+CLP,-0.0006,-0.0012,0.0,0.1621,0.9387
banten,T1+CLP+SYNall_orig,T1+CLP,0.0002,-0.0004,0.0007,0.1621,0.9387
banten,T1+CLP+SYNall_asof,T1+CLP,0.0029,0.0019,0.0039,0.1621,0.9387
banten,T1+CLP,T1,0.0172,0.015,0.0196,0.1621,0.9387
bengkulu,T1+SYNcloud_orig,T1,-0.0009,-0.0012,-0.0004,0.1613,0.9425
bengkulu,T1+SYNcloud_asof,T1,-0.0018,-0.0024,-0.0011,0.1613,0.9425
bengkulu,T1+SYNall_orig,T1,-0.001,-0.0015,-0.0006,0.1613,0.9425
bengkulu,T1+SYNall_asof,T1,-0.0005,-0.0014,0.0004,0.1613,0.9425
bengkulu,T1+CLP+SYNcloud_orig,T1+CLP,-0.0008,-0.0012,-0.0004,0.1613,0.9425
bengkulu,T1+CLP+SYNcloud_asof,T1+CLP,-0.0005,-0.0009,-0.0001,0.1613,0.9425
bengkulu,T1+CLP+SYNall_orig,T1+CLP,0.0001,-0.0003,0.0005,0.1613,0.9425
bengkulu,T1+CLP+SYNall_asof,T1+CLP,0.0013,0.0007,0.0019,0.1613,0.9425
bengkulu,T1+CLP,T1,0.0186,0.017,0.0203,0.1613,0.9425
jambi,T1+SYNcloud_orig,T1,0.0008,0.0004,0.0013,0.1629,0.9998
jambi,T1+SYNcloud_asof,T1,0.0031,0.0021,0.0041,0.1629,0.9998
jambi,T1+SYNall_orig,T1,0.0008,0.0003,0.0012,0.1629,0.9998
jambi,T1+SYNall_asof,T1,0.0031,0.002,0.0043,0.1629,0.9998
jambi,T1+CLP+SYNcloud_orig,T1+CLP,0.0006,0.0002,0.0011,0.1629,0.9998
jambi,T1+CLP+SYNcloud_asof,T1+CLP,0.0003,-0.0004,0.0009,0.1629,0.9998
jambi,T1+CLP+SYNall_orig,T1+CLP,-0.0,-0.0005,0.0004,0.1629,0.9998
jambi,T1+CLP+SYNall_asof,T1+CLP,0.0002,-0.0005,0.001,0.1629,0.9998
jambi,T1+CLP,T1,0.0278,0.0255,0.0303,0.1629,0.9998
jogja,T1+SYNcloud_orig,T1,0.0013,0.0008,0.0019,0.1622,0.9179
jogja,T1+SYNcloud_asof,T1,0.0039,0.0027,0.0051,0.1622,0.9179
jogja,T1+SYNall_orig,T1,0.0018,0.0011,0.0025,0.1622,0.9179
jogja,T1+SYNall_asof,T1,0.0054,0.0038,0.0069,0.1622,0.9179
jogja,T1+CLP+SYNcloud_orig,T1+CLP,0.0001,-0.0004,0.0007,0.1622,0.9179
jogja,T1+CLP+SYNcloud_asof,T1+CLP,0.0002,-0.0005,0.0009,0.1622,0.9179
jogja,T1+CLP+SYNall_orig,T1+CLP,-0.0002,-0.0008,0.0004,0.1622,0.9179
jogja,T1+CLP+SYNall_asof,T1+CLP,0.0003,-0.0006,0.0012,0.1622,0.9179
jogja,T1+CLP,T1,0.0322,0.0295,0.0347,0.1622,0.9179
kalbar,T1+SYNcloud_orig,T1,0.0006,0.0003,0.0009,0.1624,0.9251
kalbar,T1+SYNcloud_asof,T1,0.002,0.0014,0.0026,0.1624,0.9251
kalbar,T1+SYNall_orig,T1,0.0002,-0.0001,0.0005,0.1624,0.9251
kalbar,T1+SYNall_asof,T1,0.0029,0.0022,0.0036,0.1624,0.9251
kalbar,T1+CLP+SYNcloud_orig,T1+CLP,-0.0003,-0.0007,0.0,0.1624,0.9251
kalbar,T1+CLP+SYNcloud_asof,T1+CLP,0.0002,-0.0002,0.0006,0.1624,0.9251
kalbar,T1+CLP+SYNall_orig,T1+CLP,-0.0004,-0.0008,-0.0001,0.1624,0.9251
kalbar,T1+CLP+SYNall_asof,T1+CLP,0.0015,0.001,0.002,0.1624,0.9251
kalbar,T1+CLP,T1,0.0177,0.0155,0.0199,0.1624,0.9251
semarang,T1+SYNcloud_orig,T1,0.0001,-0.0003,0.0006,0.1623,0.9178
semarang,T1+SYNcloud_asof,T1,0.0013,0.0006,0.0021,0.1623,0.9178
semarang,T1+SYNall_orig,T1,0.0001,-0.0003,0.0005,0.1623,0.9178
semarang,T1+SYNall_asof,T1,0.0028,0.002,0.0038,0.1623,0.9178
semarang,T1+CLP+SYNcloud_orig,T1+CLP,-0.0004,-0.0009,0.0001,0.1623,0.9178
semarang,T1+CLP+SYNcloud_asof,T1+CLP,-0.0001,-0.0006,0.0004,0.1623,0.9178
semarang,T1+CLP+SYNall_orig,T1+CLP,-0.0001,-0.0005,0.0003,0.1623,0.9178
semarang,T1+CLP+SYNall_asof,T1+CLP,0.0012,0.0006,0.0018,0.1623,0.9178
semarang,T1+CLP,T1,0.0162,0.0143,0.0182,0.1623,0.9178
